순서,간지,한국어
1,甲子,갑자
2,乙丑,을축
3,丙寅,병인
4,丁卯,정묘
5,戊辰,무진
6,己巳,기사
7,庚午,경오
8,辛未,신미
9,壬申,임신
10,癸酉,계유
11,甲戌,갑술
12,乙亥,을해
13,丙子,병자
14,丁丑,정축
15,戊寅,무인
16,己卯,기묘
17,庚辰,경진
18,辛巳,신사
19,壬午,임오
20,癸未,계미
21,甲申,갑신
22,乙酉,을유
23,丙戌,병술
24,丁亥,정해
25,戊子,무자
26,己丑,기축
27,庚寅,경인
28,辛卯,신묘
29,壬辰,임진
30,癸巳,계사
31,甲午,갑오
32,乙未,을미
33,丙申,병신
34,丁酉,정유
35,戊戌,무술
36,己亥,기해
37,庚子,경자
38,辛丑,신축
39,壬寅,임인
40,癸卯,계묘
41,甲辰,갑진
42,乙巳,을사
43,丙午,병오
44,丁未,정미
45,戊申,무신
46,己酉,기유
47,庚戌,경술
48,辛亥,신해
49,壬子,임자
50,癸丑,계축
51,甲寅,갑인
52,乙卯,을묘
53,丙辰,병진
54,丁巳,정사
55,戊午,무오
56,己未,기미
57,庚申,경신
58,辛酉,신유
59,壬戌,임술
60,癸亥,계해
